token	corpus size	all contexts size	frequency	co-frequency	specificity
提到	37367	22568	9	8	1.20
联系	37367	22568	9	8	1.20
垂直	37367	22568	9	8	1.20
云高	37367	22568	9	8	1.20
效益	37367	22568	9	8	1.20
到	37367	22568	165	100	1.20
可能	37367	22568	50	34	1.19
接	37367	22568	18	14	1.19
开发	37367	22568	18	14	1.19
以及	37367	22568	55	37	1.18
对	37367	22568	153	93	1.18
关键	37367	22568	15	12	1.18
产业	37367	22568	15	12	1.18
有着	37367	22568	12	10	1.18
样	37367	22568	12	10	1.18
太阳	37367	22568	12	10	1.18
工具	37367	22568	12	10	1.18
字	37367	22568	12	10	1.18
数据库	37367	22568	12	10	1.18
泰国	37367	22568	12	10	1.18
每	37367	22568	26	19	1.16
旅游	37367	22568	26	19	1.16
应用	37367	22568	71	46	1.13
想	37367	22568	36	25	1.12
般	37367	22568	36	25	1.12
时	37367	22568	109	67	1.12
小	37367	22568	46	31	1.11
使用	37367	22568	68	44	1.11
低	37367	22568	28	20	1.11
通过	37367	22568	84	53	1.10
9月	37367	22568	5	5	1.10
副	37367	22568	5	5	1.10
绽放	37367	22568	5	5	1.10
祝愿	37367	22568	5	5	1.10
笑	37367	22568	5	5	1.10
雾气	37367	22568	5	5	1.10
晴天	37367	22568	5	5	1.10
吸	37367	22568	5	5	1.10
相通	37367	22568	5	5	1.10
蓝	37367	22568	5	5	1.10
较为	37367	22568	5	5	1.10
层状云	37367	22568	5	5	1.10
状	37367	22568	5	5	1.10
白色	37367	22568	5	5	1.10
鱼鳞	37367	22568	5	5	1.10
外观	37367	22568	5	5	1.10
大理	37367	22568	5	5	1.10
当时	37367	22568	5	5	1.10
飞天	37367	22568	5	5	1.10
湖南	37367	22568	5	5	1.10
今天	37367	22568	5	5	1.10
气流	37367	22568	5	5	1.10
那个	37367	22568	5	5	1.10
密布	37367	22568	5	5	1.10
句子	37367	22568	5	5	1.10
有什	37367	22568	5	5	1.10
云物理学	37367	22568	5	5	1.10
规律	37367	22568	5	5	1.10
云底	37367	22568	5	5	1.10
大多数	37367	22568	5	5	1.10
查看	37367	22568	5	5	1.10
功能性	37367	22568	5	5	1.10
便利	37367	22568	5	5	1.10
应对	37367	22568	5	5	1.10
吗	37367	22568	5	5	1.10
视	37367	22568	5	5	1.10
注意	37367	22568	5	5	1.10
事项	37367	22568	5	5	1.10
文人	37367	22568	5	5	1.10
哲学	37367	22568	5	5	1.10
志向	37367	22568	5	5	1.10
巫山	37367	22568	5	5	1.10
参透短	37367	22568	5	5	1.10
长理	37367	22568	5	5	1.10
则	37367	22568	38	26	1.09
三	37367	22568	38	26	1.09
如	37367	22568	83	52	1.08
层	37367	22568	17	13	1.08
采用	37367	22568	17	13	1.08
支持	37367	22568	55	36	1.08
这些	37367	22568	62	40	1.07
远程	37367	22568	14	11	1.05
持续	37367	22568	22	16	1.04
手机	37367	22568	22	16	1.04
方式	37367	22568	54	35	1.04
变化	37367	22568	42	28	1.04
含	37367	22568	11	9	1.04
喜爱	37367	22568	11	9	1.04
看见	37367	22568	11	9	1.04
现在	37367	22568	11	9	1.04
送	37367	22568	11	9	1.04
相同	37367	22568	11	9	1.04
第三	37367	22568	11	9	1.04
广泛	37367	22568	11	9	1.04
收入	37367	22568	11	9	1.04
场景云	37367	22568	11	9	1.04
产品	37367	22568	37	25	1.03
于是	37367	22568	8	7	1.03
蓝天	37367	22568	8	7	1.03
词	37367	22568	8	7	1.03
预示	37367	22568	8	7	1.03
任何	37367	22568	8	7	1.03
沈从文	37367	22568	8	7	1.03
深	37367	22568	8	7	1.03
重	37367	22568	8	7	1.03
矛盾	37367	22568	8	7	1.03
自身	37367	22568	8	7	1.03
可靠	37367	22568	8	7	1.03
开发者	37367	22568	8	7	1.03
机构	37367	22568	8	7	1.03
服务器	37367	22568	32	22	1.03
怎	37367	22568	19	14	1.01
发布	37367	22568	24	17	1.00
速度	37367	22568	24	17	1.00
出	37367	22568	65	39	1.00
平台	37367	22568	52	33	0.99
给	37367	22568	60	37	0.99
比较	37367	22568	16	12	0.98
新闻	37367	22568	16	12	0.98
米	37367	22568	16	12	0.98
客户	37367	22568	31	21	0.97
未	37367	22568	47	30	0.97
写	37367	22568	26	18	0.97
方面	37367	22568	26	18	0.97
作为	37367	22568	26	18	0.97
进行	37367	22568	51	32	0.97
否	37367	22568	21	15	0.96
需要	37367	22568	40	26	0.96
用户	37367	22568	54	33	0.96
只	37367	22568	53	32	0.95
自然	37367	22568	28	19	0.94
智能	37367	22568	28	19	0.94
永远	37367	22568	13	10	0.94
似	37367	22568	13	10	0.94
各地	37367	22568	13	10	0.94
开	37367	22568	13	10	0.94
商业	37367	22568	13	10	0.94
市场	37367	22568	41	26	0.93
白云	37367	22568	46	28	0.92
它们	37367	22568	42	26	0.91
仅	37367	22568	42	26	0.91
增长	37367	22568	25	17	0.91
访问	37367	22568	34	22	0.91
行	37367	22568	10	8	0.90
远	37367	22568	10	8	0.90
条	37367	22568	10	8	0.90
故事	37367	22568	10	8	0.90
大地	37367	22568	10	8	0.90
很多	37367	22568	10	8	0.90
花	37367	22568	10	8	0.90
诗人	37367	22568	10	8	0.90
灵活性	37367	22568	10	8	0.90
尽管	37367	22568	10	8	0.90
加快	37367	22568	10	8	0.90
能力	37367	22568	38	24	0.90
两	37367	22568	40	24	0.89
之间	37367	22568	27	18	0.89
领域	37367	22568	20	14	0.89
似乎	37367	22568	20	14	0.89
设备	37367	22568	20	14	0.89
比如	37367	22568	15	11	0.88
一起	37367	22568	15	11	0.88
值	37367	22568	15	11	0.88
传统	37367	22568	29	19	0.88
系统	37367	22568	38	23	0.88
天	37367	22568	37	22	0.88
连	37367	22568	37	22	0.88
体验	37367	22568	35	22	0.88
凝望	37367	22568	4	4	0.88
维度	37367	22568	4	4	0.88
穷	37367	22568	4	4	0.88
棉花糖	37367	22568	4	4	0.88
吝啬	37367	22568	4	4	0.88
满	37367	22568	4	4	0.88
每次	37367	22568	4	4	0.88
久违	37367	22568	4	4	0.88
见面	37367	22568	4	4	0.88
上去	37367	22568	4	4	0.88
一切	37367	22568	4	4	0.88
眼里	37367	22568	4	4	0.88
雷声	37367	22568	4	4	0.88
雨滴	37367	22568	4	4	0.88
入门	37367	22568	4	4	0.88
流层	37367	22568	4	4	0.88
云体	37367	22568	4	4	0.88
亚种	37367	22568	4	4	0.88
用于	37367	22568	4	4	0.88
名利	37367	22568	4	4	0.88
云族	37367	22568	4	4	0.88
优质	37367	22568	4	4	0.88
可是	37367	22568	4	4	0.88
心情	37367	22568	4	4	0.88
推荐	37367	22568	4	4	0.88
性情	37367	22568	4	4	0.88
色	37367	22568	4	4	0.88
上方	37367	22568	4	4	0.88
见证	37367	22568	4	4	0.88
在线	37367	22568	4	4	0.88
酝酿	37367	22568	4	4	0.88
文	37367	22568	4	4	0.88
扩散	37367	22568	4	4	0.88
规模化	37367	22568	4	4	0.88
909划线	37367	22568	4	4	0.88
集体	37367	22568	4	4	0.88
转化	37367	22568	4	4	0.88
顶部	37367	22568	4	4	0.88
预报员	37367	22568	4	4	0.88
积状云	37367	22568	4	4	0.88
测天	37367	22568	4	4	0.88
激光	37367	22568	4	4	0.88
不断	37367	22568	4	4	0.88
专有云	37367	22568	4	4	0.88
号	37367	22568	4	4	0.88
框架	37367	22568	4	4	0.88
锁定	37367	22568	4	4	0.88
新华网	37367	22568	4	4	0.88
转型	37367	22568	4	4	0.88
价值	37367	22568	4	4	0.88
输送	37367	22568	4	4	0.88
竞争	37367	22568	4	4	0.88
天翼云游戏	37367	22568	4	4	0.88
爽	37367	22568	4	4	0.88
从天而降	37367	22568	4	4	0.88
建立	37367	22568	4	4	0.88
动能	37367	22568	4	4	0.88
指代	37367	22568	4	4	0.88
宗教	37367	22568	4	4	0.88
云气	37367	22568	4	4	0.88
兮	37367	22568	4	4	0.88
李白	37367	22568	4	4	0.88
山水	37367	22568	4	4	0.88
隐士	37367	22568	4	4	0.88
春江花月	37367	22568	4	4	0.88
芙蓉	37367	22568	4	4	0.88
由	37367	22568	33	21	0.88
重要	37367	22568	33	21	0.88
设施	37367	22568	33	21	0.88
乡	37367	22568	7	6	0.87
画	37367	22568	7	6	0.87
期待	37367	22568	7	6	0.87
藏	37367	22568	7	6	0.87
呈	37367	22568	7	6	0.87
经常	37367	22568	7	6	0.87
事物	37367	22568	7	6	0.87
五	37367	22568	7	6	0.87
涌	37367	22568	7	6	0.87
自然界	37367	22568	7	6	0.87
控制	37367	22568	7	6	0.87
公有云	37367	22568	7	6	0.87
充分	37367	22568	7	6	0.87
众多	37367	22568	7	6	0.87
医保	37367	22568	7	6	0.87
大赛	37367	22568	7	6	0.87
改善	37367	22568	7	6	0.87
中文社	37367	22568	7	6	0.87
风	37367	22568	22	15	0.87
一定	37367	22568	22	15	0.87
各	37367	22568	22	15	0.87
大气	37367	22568	22	15	0.87
创新	37367	22568	22	15	0.87
方法	37367	22568	24	16	0.86
处理	37367	22568	24	16	0.86
全球	37367	22568	32	20	0.85
雪	37367	22568	32	19	0.85
已	37367	22568	26	17	0.85
部署	37367	22568	30	19	0.85
其他	37367	22568	17	12	0.85
上升	37367	22568	17	12	0.85
同样	37367	22568	17	12	0.85
断	37367	22568	17	12	0.85
改变	37367	22568	17	12	0.85
还是	37367	22568	28	18	0.85
总是	37367	22568	12	9	0.84
通常	37367	22568	12	9	0.84
观察	37367	22568	12	9	0.84
象征	37367	22568	12	9	0.84
整体	37367	22568	12	9	0.84
云监工	37367	22568	12	9	0.84
财务	37367	22568	12	9	0.84
点	37367	22568	19	13	0.83
地方	37367	22568	19	13	0.83
帮助	37367	22568	19	13	0.83
因为	37367	22568	27	17	0.82
即	37367	22568	27	17	0.82
满足	37367	22568	27	17	0.82
环境	37367	22568	27	17	0.82
价	37367	22568	28	17	0.82
内容	37367	22568	25	16	0.81
看到	37367	22568	27	16	0.81
软件	37367	22568	27	16	0.81
已经	37367	22568	14	10	0.80
首	37367	22568	14	10	0.80
诗	37367	22568	14	10	0.80
颜色	37367	22568	14	10	0.80
气象局	37367	22568	14	10	0.80
苍山	37367	22568	14	10	0.80
些	37367	22568	14	10	0.80
看云	37367	22568	14	10	0.80
们	37367	22568	14	10	0.80
构建	37367	22568	14	10	0.80
程度	37367	22568	14	10	0.80
快速	37367	22568	14	10	0.80
要求	37367	22568	14	10	0.80
时候	37367	22568	25	15	0.79
推动	37367	22568	25	15	0.79
媒介	37367	22568	25	15	0.79
大学	37367	22568	9	7	0.78
自动	37367	22568	9	7	0.78
找到	37367	22568	9	7	0.78
关于	37367	22568	9	7	0.78
如此	37367	22568	9	7	0.78
现代	37367	22568	9	7	0.78
特性	37367	22568	9	7	0.78
进步	37367	22568	9	7	0.78
有关	37367	22568	16	11	0.78
至	37367	22568	16	11	0.78
提出	37367	22568	16	11	0.78
科技	37367	22568	16	11	0.78
运营	37367	22568	22	14	0.78
才	37367	22568	23	14	0.77
由于	37367	22568	23	14	0.77
比	37367	22568	18	12	0.77
句	37367	22568	18	12	0.77
其中	37367	22568	18	12	0.77
优势	37367	22568	18	12	0.77
仿佛	37367	22568	22	13	0.77
地面	37367	22568	22	13	0.77
作	37367	22568	21	13	0.76
按	37367	22568	21	13	0.76
正	37367	22568	21	13	0.76
进	37367	22568	19	12	0.74
记者	37367	22568	19	12	0.74
其实	37367	22568	11	8	0.74
科普	37367	22568	11	8	0.74
本	37367	22568	11	8	0.74
文学	37367	22568	11	8	0.74
生	37367	22568	11	8	0.74
物	37367	22568	11	8	0.74
既	37367	22568	11	8	0.74
报告	37367	22568	11	8	0.74
投资	37367	22568	11	8	0.74
整个	37367	22568	17	11	0.73
根据	37367	22568	17	11	0.73
简单	37367	22568	17	11	0.73
产生	37367	22568	17	11	0.73
因此	37367	22568	17	11	0.73
核心	37367	22568	17	11	0.73
医疗	37367	22568	17	11	0.73
块	37367	22568	13	9	0.73
空中	37367	22568	13	9	0.73
有些	37367	22568	13	9	0.73
丰富	37367	22568	13	9	0.73
显示	37367	22568	13	9	0.73
趋势	37367	22568	13	9	0.73
空间	37367	22568	13	9	0.73
朋友	37367	22568	15	10	0.72
飞	37367	22568	15	10	0.72
社区	37367	22568	15	10	0.72
情况	37367	22568	15	10	0.72
毛泽东	37367	22568	15	10	0.72
虽	37367	22568	18	11	0.72
疫情	37367	22568	18	11	0.72
承载	37367	22568	6	5	0.72
眼	37367	22568	6	5	0.72
地上	37367	22568	6	5	0.72
必	37367	22568	6	5	0.72
重新	37367	22568	6	5	0.72
怕	37367	22568	6	5	0.72
形容	37367	22568	6	5	0.72
一直	37367	22568	6	5	0.72
经验	37367	22568	6	5	0.72
尝试	37367	22568	6	5	0.72
请	37367	22568	6	5	0.72
冰雹	37367	22568	6	5	0.72
对流	37367	22568	6	5	0.72
中央	37367	22568	6	5	0.72
负责	37367	22568	6	5	0.72
利用	37367	22568	6	5	0.72
借助	37367	22568	6	5	0.72
试用	37367	22568	6	5	0.72
虚拟化	37367	22568	6	5	0.72
实施	37367	22568	6	5	0.72
发挥	37367	22568	6	5	0.72
日常	37367	22568	6	5	0.72
相比之下	37367	22568	6	5	0.72
突出	37367	22568	6	5	0.72
职业	37367	22568	6	5	0.72
网友	37367	22568	6	5	0.72
态度	37367	22568	6	5	0.72
顺网	37367	22568	6	5	0.72
控	37367	22568	6	5	0.72
智慧	37367	22568	6	5	0.72
除	37367	22568	17	10	0.72
月	37367	22568	17	10	0.72
稳定	37367	22568	17	10	0.72
维护	37367	22568	17	10	0.72
千	37367	22568	16	10	0.70
分享	37367	22568	16	10	0.70
视频	37367	22568	16	10	0.70
国内	37367	22568	16	10	0.70
游客	37367	22568	16	10	0.70
另	37367	22568	15	9	0.69
虽然	37367	22568	15	9	0.69
计划	37367	22568	15	9	0.69
协作	37367	22568	15	9	0.69
原	37367	22568	14	9	0.68
谁	37367	22568	14	9	0.68
人才	37367	22568	14	9	0.68
策略	37367	22568	14	9	0.68
共享	37367	22568	14	9	0.68
之上	37367	22568	8	6	0.67
心中	37367	22568	8	6	0.67
先	37367	22568	8	6	0.67
体系	37367	22568	8	6	0.67
挑战	37367	22568	8	6	0.67
常见	37367	22568	8	6	0.67
传输	37367	22568	8	6	0.67
对象	37367	22568	8	6	0.67
运动	37367	22568	8	6	0.67
蘑菇云	37367	22568	8	6	0.67
里云	37367	22568	8	6	0.67
评论	37367	22568	8	6	0.67
多种	37367	22568	8	6	0.67
项	37367	22568	8	6	0.67
落地	37367	22568	8	6	0.67
新年	37367	22568	8	6	0.67
或者	37367	22568	12	8	0.67
只是	37367	22568	12	8	0.67
第二	37367	22568	12	8	0.67
定	37367	22568	12	8	0.67
网	37367	22568	12	8	0.67
电视	37367	22568	12	8	0.67
随	37367	22568	10	7	0.66
达到	37367	22568	10	7	0.66
只能	37367	22568	10	7	0.66
生命	37367	22568	10	7	0.66
干扰	37367	22568	10	7	0.66
当然	37367	22568	10	7	0.66
拥有	37367	22568	10	7	0.66
大模型	37367	22568	10	7	0.66
人工智能	37367	22568	10	7	0.66
系	37367	22568	3	3	0.66
小时候	37367	22568	3	3	0.66
风景	37367	22568	3	3	0.66
相信	37367	22568	3	3	0.66
颗	37367	22568	3	3	0.66
嘴里	37367	22568	3	3	0.66
长空	37367	22568	3	3	0.66
托举	37367	22568	3	3	0.66
痴痴地	37367	22568	3	3	0.66
忘	37367	22568	3	3	0.66
互	37367	22568	3	3	0.66
紧	37367	22568	3	3	0.66
一朵朵	37367	22568	3	3	0.66
眺望	37367	22568	3	3	0.66
复制	37367	22568	3	3	0.66
留	37367	22568	3	3	0.66
页	37367	22568	3	3	0.66
语	37367	22568	3	3	0.66
找	37367	22568	3	3	0.66
小伙伴	37367	22568	3	3	0.66
刚才	37367	22568	3	3	0.66
调皮	37367	22568	3	3	0.66
恋人	37367	22568	3	3	0.66
遇	37367	22568	3	3	0.66
盛夏	37367	22568	3	3	0.66
成团	37367	22568	3	3	0.66
泛	37367	22568	3	3	0.66
温暖	37367	22568	3	3	0.66
安心	37367	22568	3	3	0.66
自在	37367	22568	3	3	0.66
孤独	37367	22568	3	3	0.66
思念	37367	22568	3	3	0.66
万里无云	37367	22568	3	3	0.66
共	37367	22568	3	3	0.66
彼岸	37367	22568	3	3	0.66
使者	37367	22568	3	3	0.66
阴天	37367	22568	3	3	0.66
轰鸣	37367	22568	3	3	0.66
结束	37367	22568	3	3	0.66
升腾	37367	22568	3	3	0.66
排列	37367	22568	3	3	0.66
组成	37367	22568	3	3	0.66
搞	37367	22568	3	3	0.66
宽	37367	22568	3	3	0.66
命名	37367	22568	3	3	0.66
高层云	37367	22568	3	3	0.66
毯子	37367	22568	3	3	0.66
厚	37367	22568	3	3	0.66
那种	37367	22568	3	3	0.66
变化多端	37367	22568	3	3	0.66
层积云	37367	22568	3	3	0.66
种类	37367	22568	3	3	0.66
阵晨	37367	22568	3	3	0.66
冬天	37367	22568	3	3	0.66
加速	37367	22568	3	3	0.66
穿	37367	22568	3	3	0.66
加	37367	22568	3	3	0.66
至关重要	37367	22568	3	3	0.66
后人	37367	22568	3	3	0.66
景象	37367	22568	3	3	0.66
粒子	37367	22568	3	3	0.66
谈	37367	22568	3	3	0.66
时节	37367	22568	3	3	0.66
飘动	37367	22568	3	3	0.66
奇特	37367	22568	3	3	0.66
模样	37367	22568	3	3	0.66
傍晚	37367	22568	3	3	0.66
成熟	37367	22568	3	3	0.66
悬	37367	22568	3	3	0.66
打算	37367	22568	3	3	0.66
季节	37367	22568	3	3	0.66
神话	37367	22568	3	3	0.66
浓积云	37367	22568	3	3	0.66
头顶	37367	22568	3	3	0.66
对云	37367	22568	3	3	0.66
一面	37367	22568	3	3	0.66
一朵云	37367	22568	3	3	0.66
谚语	37367	22568	3	3	0.66
淋	37367	22568	3	3	0.66
讲座	37367	22568	3	3	0.66
蔡英	37367	22568	3	3	0.66
积	37367	22568	3	3	0.66
散	37367	22568	3	3	0.66
契合	37367	22568	3	3	0.66
时长	37367	22568	3	3	0.66
西方人	37367	22568	3	3	0.66
怎样	37367	22568	3	3	0.66
小节	37367	22568	3	3	0.66
康斯太勃尔	37367	22568	3	3	0.66
大国	37367	22568	3	3	0.66
根据云	37367	22568	3	3	0.66
山云	37367	22568	3	3	0.66
草莽	37367	22568	3	3	0.66
旱云	37367	22568	3	3	0.66
烟火	37367	22568	3	3	0.66
水波	37367	22568	3	3	0.66
研究云	37367	22568	3	3	0.66
事儿	37367	22568	3	3	0.66
熊	37367	22568	3	3	0.66
滴	37367	22568	3	3	0.66
北京	37367	22568	3	3	0.66
博物馆	37367	22568	3	3	0.66
之所以	37367	22568	3	3	0.66
中间	37367	22568	3	3	0.66
叫做	37367	22568	3	3	0.66
动力学	37367	22568	3	3	0.66
云雨	37367	22568	3	3	0.66
厚度	37367	22568	3	3	0.66
子	37367	22568	3	3	0.66
μm	37367	22568	3	3	0.66
乱	37367	22568	3	3	0.66
中小尺度	37367	22568	3	3	0.66
气旋	37367	22568	3	3	0.66
及其	37367	22568	3	3	0.66
微观	37367	22568	3	3	0.66
初始	37367	22568	3	3	0.66
转向	37367	22568	3	3	0.66
播撒	37367	22568	3	3	0.66
面积	37367	22568	3	3	0.66
普通人	37367	22568	3	3	0.66
遇到	37367	22568	3	3	0.66
2014年	37367	22568	3	3	0.66
参考	37367	22568	3	3	0.66
十	37367	22568	3	3	0.66
距	37367	22568	3	3	0.66
识天	37367	22568	3	3	0.66
目测	37367	22568	3	3	0.66
障碍	37367	22568	3	3	0.66
据悉	37367	22568	3	3	0.66
高积	37367	22568	3	3	0.66
雏形	37367	22568	3	3	0.66
领先	37367	22568	3	3	0.66
定义	37367	22568	3	3	0.66
可靠性	37367	22568	3	3	0.66
多云	37367	22568	3	3	0.66
适应	37367	22568	3	3	0.66
用途	37367	22568	3	3	0.66
用例	37367	22568	3	3	0.66
塑造	37367	22568	3	3	0.66
发送	37367	22568	3	3	0.66
便利性	37367	22568	3	3	0.66
传递	37367	22568	3	3	0.66
日益	37367	22568	3	3	0.66
看病	37367	22568	3	3	0.66
告别	37367	22568	3	3	0.66
纠错	37367	22568	3	3	0.66
医院	37367	22568	3	3	0.66
品牌	37367	22568	3	3	0.66
渗透	37367	22568	3	3	0.66
份额	37367	22568	3	3	0.66
偏	37367	22568	3	3	0.66
盒子	37367	22568	3	3	0.66
届	37367	22568	3	3	0.66
就地	37367	22568	3	3	0.66
据	37367	22568	3	3	0.66
七大	37367	22568	3	3	0.66
可信	37367	22568	3	3	0.66
自主	37367	22568	3	3	0.66
云网	37367	22568	3	3	0.66
带动	37367	22568	3	3	0.66
频道	37367	22568	3	3	0.66
加载	37367	22568	3	3	0.66
一次次	37367	22568	3	3	0.66
坚定	37367	22568	3	3	0.66
几何	37367	22568	3	3	0.66
看头	37367	22568	3	3	0.66
足不出户	37367	22568	3	3	0.66
精彩	37367	22568	3	3	0.66
交互	37367	22568	3	3	0.66
消费品	37367	22568	3	3	0.66
付	37367	22568	3	3	0.66
经济效益	37367	22568	3	3	0.66
山川	37367	22568	3	3	0.66
当代	37367	22568	3	3	0.66
浮	37367	22568	3	3	0.66
意境	37367	22568	3	3	0.66
游子	37367	22568	3	3	0.66
杜甫	37367	22568	3	3	0.66
语境	37367	22568	3	3	0.66
欲	37367	22568	3	3	0.66
彩云	37367	22568	3	3	0.66
九嶷山	37367	22568	3	3	0.66
局面	37367	22568	3	3	0.66
