token	corpus size	all contexts size	frequency	co-frequency	specificity
工具	37257	22363	12	10	1.19
字	37257	22363	12	10	1.19
整体	37257	22363	12	10	1.19
数据库	37257	22363	12	10	1.19
财务	37257	22363	12	10	1.19
泰国	37257	22363	12	10	1.19
这些	37257	22363	62	41	1.19
访问	37257	22363	34	24	1.18
旅游	37257	22363	26	19	1.18
从	37257	22363	142	86	1.17
方式	37257	22363	54	36	1.16
般	37257	22363	36	25	1.14
很	37257	22363	46	31	1.14
小	37257	22363	46	31	1.14
自然	37257	22363	28	20	1.13
低	37257	22363	28	20	1.13
时	37257	22363	109	67	1.13
现象	37257	22363	20	15	1.13
能	37257	22363	116	70	1.12
则	37257	22363	38	26	1.11
三	37257	22363	38	26	1.11
9月	37257	22363	5	5	1.11
副	37257	22363	5	5	1.11
绽放	37257	22363	5	5	1.11
祝愿	37257	22363	5	5	1.11
笑	37257	22363	5	5	1.11
雾气	37257	22363	5	5	1.11
晴天	37257	22363	5	5	1.11
拿	37257	22363	5	5	1.11
吸	37257	22363	5	5	1.11
相通	37257	22363	5	5	1.11
蓝	37257	22363	5	5	1.11
较为	37257	22363	5	5	1.11
层状云	37257	22363	5	5	1.11
状	37257	22363	5	5	1.11
白色	37257	22363	5	5	1.11
鱼鳞	37257	22363	5	5	1.11
外观	37257	22363	5	5	1.11
大理	37257	22363	5	5	1.11
飞天	37257	22363	5	5	1.11
湖南	37257	22363	5	5	1.11
今天	37257	22363	5	5	1.11
气流	37257	22363	5	5	1.11
密布	37257	22363	5	5	1.11
句子	37257	22363	5	5	1.11
有什	37257	22363	5	5	1.11
云物理学	37257	22363	5	5	1.11
规律	37257	22363	5	5	1.11
云底	37257	22363	5	5	1.11
大多数	37257	22363	5	5	1.11
查看	37257	22363	5	5	1.11
功能性	37257	22363	5	5	1.11
便利	37257	22363	5	5	1.11
吗	37257	22363	5	5	1.11
视	37257	22363	5	5	1.11
注意	37257	22363	5	5	1.11
事项	37257	22363	5	5	1.11
文人	37257	22363	5	5	1.11
哲学	37257	22363	5	5	1.11
志向	37257	22363	5	5	1.11
巫山	37257	22363	5	5	1.11
参透短	37257	22363	5	5	1.11
长理	37257	22363	5	5	1.11
层	37257	22363	17	13	1.10
采用	37257	22363	17	13	1.10
我们	37257	22363	96	59	1.10
它	37257	22363	99	60	1.09
部署	37257	22363	30	21	1.08
快速	37257	22363	14	11	1.07
大气	37257	22363	22	16	1.06
持续	37257	22363	22	16	1.06
那	37257	22363	74	46	1.05
含	37257	22363	11	9	1.05
喜爱	37257	22363	11	9	1.05
现在	37257	22363	11	9	1.05
送	37257	22363	11	9	1.05
相同	37257	22363	11	9	1.05
第三	37257	22363	11	9	1.05
收入	37257	22363	11	9	1.05
场景云	37257	22363	11	9	1.05
软件	37257	22363	27	19	1.05
地	37257	22363	78	48	1.05
心中	37257	22363	8	7	1.05
于是	37257	22363	8	7	1.05
蓝天	37257	22363	8	7	1.05
词	37257	22363	8	7	1.05
预示	37257	22363	8	7	1.05
沈从文	37257	22363	8	7	1.05
深	37257	22363	8	7	1.05
霍华德	37257	22363	8	7	1.05
矛盾	37257	22363	8	7	1.05
自身	37257	22363	8	7	1.05
可靠	37257	22363	8	7	1.05
开发者	37257	22363	8	7	1.05
机构	37257	22363	8	7	1.05
项	37257	22363	8	7	1.05
社会	37257	22363	39	26	1.03
怎	37257	22363	19	14	1.03
白云	37257	22363	46	30	1.03
支持	37257	22363	55	35	1.02
发布	37257	22363	24	17	1.02
浮云	37257	22363	64	39	1.00
新闻	37257	22363	16	12	0.99
米	37257	22363	16	12	0.99
科技	37257	22363	16	12	0.99
给	37257	22363	60	37	0.99
带	37257	22363	56	35	0.99
客户	37257	22363	31	21	0.99
成本	37257	22363	62	37	0.99
能力	37257	22363	38	25	0.98
作为	37257	22363	26	18	0.98
未	37257	22363	47	30	0.98
开始	37257	22363	21	15	0.98
只	37257	22363	53	33	0.97
用户	37257	22363	54	33	0.96
平台	37257	22363	52	32	0.96
智能	37257	22363	28	19	0.96
体验	37257	22363	35	23	0.96
永远	37257	22363	13	10	0.96
似	37257	22363	13	10	0.96
各地	37257	22363	13	10	0.96
开	37257	22363	13	10	0.96
商业	37257	22363	13	10	0.96
安全	37257	22363	49	30	0.94
接	37257	22363	18	13	0.94
市场	37257	22363	41	26	0.93
全球	37257	22363	32	21	0.92
增长	37257	22363	25	17	0.92
行	37257	22363	10	8	0.92
远	37257	22363	10	8	0.92
条	37257	22363	10	8	0.92
故事	37257	22363	10	8	0.92
大地	37257	22363	10	8	0.92
花	37257	22363	10	8	0.92
诗人	37257	22363	10	8	0.92
灵活性	37257	22363	10	8	0.92
人工智能	37257	22363	10	8	0.92
尽管	37257	22363	10	8	0.92
加快	37257	22363	10	8	0.92
它们	37257	22363	42	26	0.91
仅	37257	22363	42	26	0.91
领域	37257	22363	20	14	0.90
似乎	37257	22363	20	14	0.90
设备	37257	22363	20	14	0.90
之间	37257	22363	27	18	0.90
比如	37257	22363	15	11	0.90
值	37257	22363	15	11	0.90
两	37257	22363	40	24	0.89
传统	37257	22363	29	19	0.89
凝望	37257	22363	4	4	0.89
维度	37257	22363	4	4	0.89
棉花糖	37257	22363	4	4	0.89
吝啬	37257	22363	4	4	0.89
满	37257	22363	4	4	0.89
每次	37257	22363	4	4	0.89
久违	37257	22363	4	4	0.89
见面	37257	22363	4	4	0.89
上去	37257	22363	4	4	0.89
绵	37257	22363	4	4	0.89
一切	37257	22363	4	4	0.89
眼里	37257	22363	4	4	0.89
雷声	37257	22363	4	4	0.89
雨滴	37257	22363	4	4	0.89
入门	37257	22363	4	4	0.89
流层	37257	22363	4	4	0.89
云体	37257	22363	4	4	0.89
亚种	37257	22363	4	4	0.89
用于	37257	22363	4	4	0.89
名利	37257	22363	4	4	0.89
云族	37257	22363	4	4	0.89
优质	37257	22363	4	4	0.89
可是	37257	22363	4	4	0.89
心情	37257	22363	4	4	0.89
推荐	37257	22363	4	4	0.89
性情	37257	22363	4	4	0.89
色	37257	22363	4	4	0.89
管	37257	22363	4	4	0.89
上方	37257	22363	4	4	0.89
见证	37257	22363	4	4	0.89
在线	37257	22363	4	4	0.89
酝酿	37257	22363	4	4	0.89
文	37257	22363	4	4	0.89
扩散	37257	22363	4	4	0.89
规模化	37257	22363	4	4	0.89
909划线	37257	22363	4	4	0.89
集体	37257	22363	4	4	0.89
转化	37257	22363	4	4	0.89
顶部	37257	22363	4	4	0.89
预报员	37257	22363	4	4	0.89
积状云	37257	22363	4	4	0.89
测天	37257	22363	4	4	0.89
激光	37257	22363	4	4	0.89
不断	37257	22363	4	4	0.89
专有云	37257	22363	4	4	0.89
号	37257	22363	4	4	0.89
框架	37257	22363	4	4	0.89
锁定	37257	22363	4	4	0.89
新华网	37257	22363	4	4	0.89
转型	37257	22363	4	4	0.89
价值	37257	22363	4	4	0.89
输送	37257	22363	4	4	0.89
竞争	37257	22363	4	4	0.89
天翼云游戏	37257	22363	4	4	0.89
爽	37257	22363	4	4	0.89
从天而降	37257	22363	4	4	0.89
建立	37257	22363	4	4	0.89
动能	37257	22363	4	4	0.89
指代	37257	22363	4	4	0.89
云气	37257	22363	4	4	0.89
兮	37257	22363	4	4	0.89
李白	37257	22363	4	4	0.89
山水	37257	22363	4	4	0.89
隐士	37257	22363	4	4	0.89
春江花月	37257	22363	4	4	0.89
芙蓉	37257	22363	4	4	0.89
重要	37257	22363	33	21	0.88
设施	37257	22363	33	21	0.88
乡	37257	22363	7	6	0.88
画	37257	22363	7	6	0.88
期待	37257	22363	7	6	0.88
藏	37257	22363	7	6	0.88
呈	37257	22363	7	6	0.88
降雨	37257	22363	7	6	0.88
经常	37257	22363	7	6	0.88
事物	37257	22363	7	6	0.88
五	37257	22363	7	6	0.88
涌	37257	22363	7	6	0.88
自然界	37257	22363	7	6	0.88
组合	37257	22363	7	6	0.88
控制	37257	22363	7	6	0.88
公有云	37257	22363	7	6	0.88
充分	37257	22363	7	6	0.88
众多	37257	22363	7	6	0.88
医保	37257	22363	7	6	0.88
大赛	37257	22363	7	6	0.88
改善	37257	22363	7	6	0.88
中文社	37257	22363	7	6	0.88
系统	37257	22363	38	23	0.88
风	37257	22363	22	15	0.88
一定	37257	22363	22	15	0.88
手机	37257	22363	22	15	0.88
创新	37257	22363	22	15	0.88
运营	37257	22363	22	15	0.88
连	37257	22363	37	22	0.88
方法	37257	22363	24	16	0.87
处理	37257	22363	24	16	0.87
其他	37257	22363	17	12	0.86
上升	37257	22363	17	12	0.86
同样	37257	22363	17	12	0.86
断	37257	22363	17	12	0.86
改变	37257	22363	17	12	0.86
医疗	37257	22363	17	12	0.86
每	37257	22363	26	17	0.86
已	37257	22363	26	17	0.86
写	37257	22363	26	17	0.86
还是	37257	22363	28	18	0.85
此	37257	22363	33	20	0.85
总是	37257	22363	12	9	0.85
有着	37257	22363	12	9	0.85
通常	37257	22363	12	9	0.85
观察	37257	22363	12	9	0.85
象征	37257	22363	12	9	0.85
点	37257	22363	19	13	0.84
地方	37257	22363	19	13	0.84
帮助	37257	22363	19	13	0.84
您	37257	22363	21	14	0.83
否	37257	22363	21	14	0.83
看到	37257	22363	27	17	0.82
即	37257	22363	27	17	0.82
满足	37257	22363	27	17	0.82
环境	37257	22363	27	17	0.82
内容	37257	22363	25	16	0.82
推动	37257	22363	25	16	0.82
价	37257	22363	28	17	0.82
因为	37257	22363	27	16	0.81
提高	37257	22363	27	16	0.81
已经	37257	22363	14	10	0.81
首	37257	22363	14	10	0.81
谁	37257	22363	14	10	0.81
颜色	37257	22363	14	10	0.81
气象局	37257	22363	14	10	0.81
苍山	37257	22363	14	10	0.81
些	37257	22363	14	10	0.81
看云	37257	22363	14	10	0.81
们	37257	22363	14	10	0.81
构建	37257	22363	14	10	0.81
程度	37257	22363	14	10	0.81
要求	37257	22363	14	10	0.81
时候	37257	22363	25	15	0.79
大学	37257	22363	9	7	0.79
自动	37257	22363	9	7	0.79
关于	37257	22363	9	7	0.79
如此	37257	22363	9	7	0.79
现代	37257	22363	9	7	0.79
特性	37257	22363	9	7	0.79
联系	37257	22363	9	7	0.79
进步	37257	22363	9	7	0.79
政策	37257	22363	9	7	0.79
有关	37257	22363	16	11	0.79
比较	37257	22363	16	11	0.79
分享	37257	22363	16	11	0.79
至	37257	22363	16	11	0.79
提出	37257	22363	16	11	0.79
各	37257	22363	22	14	0.78
比	37257	22363	18	12	0.78
句	37257	22363	18	12	0.78
其中	37257	22363	18	12	0.78
优势	37257	22363	18	12	0.78
才	37257	22363	23	14	0.77
由于	37257	22363	23	14	0.77
仿佛	37257	22363	22	13	0.77
地面	37257	22363	22	13	0.77
按	37257	22363	21	13	0.76
正	37257	22363	21	13	0.76
棉花	37257	22363	11	8	0.75
科普	37257	22363	11	8	0.75
本	37257	22363	11	8	0.75
文学	37257	22363	11	8	0.75
生	37257	22363	11	8	0.75
既	37257	22363	11	8	0.75
获得	37257	22363	11	8	0.75
报告	37257	22363	11	8	0.75
广泛	37257	22363	11	8	0.75
投资	37257	22363	11	8	0.75
进	37257	22363	19	12	0.75
学习	37257	22363	19	12	0.75
记者	37257	22363	19	12	0.75
整个	37257	22363	17	11	0.73
根据	37257	22363	17	11	0.73
简单	37257	22363	17	11	0.73
产生	37257	22363	17	11	0.73
因此	37257	22363	17	11	0.73
核心	37257	22363	17	11	0.73
块	37257	22363	13	9	0.73
有些	37257	22363	13	9	0.73
丰富	37257	22363	13	9	0.73
直接	37257	22363	13	9	0.73
显示	37257	22363	13	9	0.73
趋势	37257	22363	13	9	0.73
以下	37257	22363	13	9	0.73
空间	37257	22363	13	9	0.73
朋友	37257	22363	15	10	0.73
飞	37257	22363	15	10	0.73
社区	37257	22363	15	10	0.73
计划	37257	22363	15	10	0.73
承载	37257	22363	6	5	0.73
跟	37257	22363	6	5	0.73
眼	37257	22363	6	5	0.73
地上	37257	22363	6	5	0.73
重新	37257	22363	6	5	0.73
怕	37257	22363	6	5	0.73
形容	37257	22363	6	5	0.73
一直	37257	22363	6	5	0.73
出于	37257	22363	6	5	0.73
经验	37257	22363	6	5	0.73
尝试	37257	22363	6	5	0.73
毕竟	37257	22363	6	5	0.73
请	37257	22363	6	5	0.73
冰雹	37257	22363	6	5	0.73
对流	37257	22363	6	5	0.73
中央	37257	22363	6	5	0.73
负责	37257	22363	6	5	0.73
利用	37257	22363	6	5	0.73
借助	37257	22363	6	5	0.73
试用	37257	22363	6	5	0.73
虚拟化	37257	22363	6	5	0.73
实施	37257	22363	6	5	0.73
发挥	37257	22363	6	5	0.73
日常	37257	22363	6	5	0.73
相比之下	37257	22363	6	5	0.73
突出	37257	22363	6	5	0.73
职业	37257	22363	6	5	0.73
网友	37257	22363	6	5	0.73
态度	37257	22363	6	5	0.73
顺网	37257	22363	6	5	0.73
智慧	37257	22363	6	5	0.73
虽	37257	22363	18	11	0.72
计算机	37257	22363	18	11	0.72
疫情	37257	22363	18	11	0.72
除	37257	22363	17	10	0.72
月	37257	22363	17	10	0.72
稳定	37257	22363	17	10	0.72
维护	37257	22363	17	10	0.72
千	37257	22363	16	10	0.70
国内	37257	22363	16	10	0.70
游客	37257	22363	16	10	0.70
外	37257	22363	15	9	0.68
另	37257	22363	15	9	0.68
虽然	37257	22363	15	9	0.68
协作	37257	22363	15	9	0.68
毛泽东	37257	22363	15	9	0.68
原	37257	22363	14	9	0.68
从而	37257	22363	14	9	0.68
规模	37257	22363	14	9	0.68
人才	37257	22363	14	9	0.68
策略	37257	22363	14	9	0.68
共享	37257	22363	14	9	0.68
之上	37257	22363	8	6	0.68
或是	37257	22363	8	6	0.68
先	37257	22363	8	6	0.68
冷却	37257	22363	8	6	0.68
任何	37257	22363	8	6	0.68
体系	37257	22363	8	6	0.68
挑战	37257	22363	8	6	0.68
常见	37257	22363	8	6	0.68
传输	37257	22363	8	6	0.68
对象	37257	22363	8	6	0.68
运动	37257	22363	8	6	0.68
蘑菇云	37257	22363	8	6	0.68
里云	37257	22363	8	6	0.68
评论	37257	22363	8	6	0.68
多种	37257	22363	8	6	0.68
落地	37257	22363	8	6	0.68
新年	37257	22363	8	6	0.68
或者	37257	22363	12	8	0.67
只是	37257	22363	12	8	0.67
第二	37257	22363	12	8	0.67
定	37257	22363	12	8	0.67
网	37257	22363	12	8	0.67
电视	37257	22363	12	8	0.67
云监工	37257	22363	12	8	0.67
随	37257	22363	10	7	0.67
很多	37257	22363	10	7	0.67
达到	37257	22363	10	7	0.67
只能	37257	22363	10	7	0.67
生命	37257	22363	10	7	0.67
结果	37257	22363	10	7	0.67
干扰	37257	22363	10	7	0.67
当然	37257	22363	10	7	0.67
拥有	37257	22363	10	7	0.67
判断	37257	22363	10	7	0.67
大模型	37257	22363	10	7	0.67
运行	37257	22363	10	7	0.67
强大	37257	22363	10	7	0.67
系	37257	22363	3	3	0.67
小时候	37257	22363	3	3	0.67
风景	37257	22363	3	3	0.67
相信	37257	22363	3	3	0.67
颗	37257	22363	3	3	0.67
嘴里	37257	22363	3	3	0.67
长空	37257	22363	3	3	0.67
托举	37257	22363	3	3	0.67
痴痴地	37257	22363	3	3	0.67
忘	37257	22363	3	3	0.67
互	37257	22363	3	3	0.67
紧	37257	22363	3	3	0.67
一朵朵	37257	22363	3	3	0.67
优雅	37257	22363	3	3	0.67
眺望	37257	22363	3	3	0.67
留	37257	22363	3	3	0.67
页	37257	22363	3	3	0.67
语	37257	22363	3	3	0.67
找	37257	22363	3	3	0.67
小伙伴	37257	22363	3	3	0.67
刚才	37257	22363	3	3	0.67
调皮	37257	22363	3	3	0.67
恋人	37257	22363	3	3	0.67
遇	37257	22363	3	3	0.67
盛夏	37257	22363	3	3	0.67
成团	37257	22363	3	3	0.67
泛	37257	22363	3	3	0.67
温暖	37257	22363	3	3	0.67
安心	37257	22363	3	3	0.67
自在	37257	22363	3	3	0.67
孤独	37257	22363	3	3	0.67
思念	37257	22363	3	3	0.67
万里无云	37257	22363	3	3	0.67
彼岸	37257	22363	3	3	0.67
使者	37257	22363	3	3	0.67
阴天	37257	22363	3	3	0.67
轰鸣	37257	22363	3	3	0.67
结束	37257	22363	3	3	0.67
升腾	37257	22363	3	3	0.67
排列	37257	22363	3	3	0.67
搞	37257	22363	3	3	0.67
堆	37257	22363	3	3	0.67
宽	37257	22363	3	3	0.67
命名	37257	22363	3	3	0.67
高层云	37257	22363	3	3	0.67
毯子	37257	22363	3	3	0.67
厚	37257	22363	3	3	0.67
那种	37257	22363	3	3	0.67
变化多端	37257	22363	3	3	0.67
层积云	37257	22363	3	3	0.67
缩	37257	22363	3	3	0.67
种类	37257	22363	3	3	0.67
阵晨	37257	22363	3	3	0.67
冬天	37257	22363	3	3	0.67
加速	37257	22363	3	3	0.67
穿	37257	22363	3	3	0.67
加	37257	22363	3	3	0.67
至关重要	37257	22363	3	3	0.67
后人	37257	22363	3	3	0.67
景象	37257	22363	3	3	0.67
粒子	37257	22363	3	3	0.67
时节	37257	22363	3	3	0.67
飘动	37257	22363	3	3	0.67
奇特	37257	22363	3	3	0.67
模样	37257	22363	3	3	0.67
傍晚	37257	22363	3	3	0.67
悬	37257	22363	3	3	0.67
打算	37257	22363	3	3	0.67
季节	37257	22363	3	3	0.67
神话	37257	22363	3	3	0.67
浓积云	37257	22363	3	3	0.67
头顶	37257	22363	3	3	0.67
对云	37257	22363	3	3	0.67
一面	37257	22363	3	3	0.67
一朵云	37257	22363	3	3	0.67
谚语	37257	22363	3	3	0.67
淋	37257	22363	3	3	0.67
讲座	37257	22363	3	3	0.67
蔡英	37257	22363	3	3	0.67
积	37257	22363	3	3	0.67
散	37257	22363	3	3	0.67
契合	37257	22363	3	3	0.67
时长	37257	22363	3	3	0.67
西方人	37257	22363	3	3	0.67
怎样	37257	22363	3	3	0.67
小节	37257	22363	3	3	0.67
康斯太勃尔	37257	22363	3	3	0.67
大国	37257	22363	3	3	0.67
根据云	37257	22363	3	3	0.67
山云	37257	22363	3	3	0.67
草莽	37257	22363	3	3	0.67
旱云	37257	22363	3	3	0.67
烟火	37257	22363	3	3	0.67
水波	37257	22363	3	3	0.67
研究云	37257	22363	3	3	0.67
事儿	37257	22363	3	3	0.67
熊	37257	22363	3	3	0.67
滴	37257	22363	3	3	0.67
北京	37257	22363	3	3	0.67
博物馆	37257	22363	3	3	0.67
之所以	37257	22363	3	3	0.67
叫做	37257	22363	3	3	0.67
动力学	37257	22363	3	3	0.67
雷暴	37257	22363	3	3	0.67
云雨	37257	22363	3	3	0.67
厚度	37257	22363	3	3	0.67
子	37257	22363	3	3	0.67
μm	37257	22363	3	3	0.67
相变	37257	22363	3	3	0.67
乱	37257	22363	3	3	0.67
中小尺度	37257	22363	3	3	0.67
气旋	37257	22363	3	3	0.67
制约	37257	22363	3	3	0.67
及其	37257	22363	3	3	0.67
微观	37257	22363	3	3	0.67
初始	37257	22363	3	3	0.67
转向	37257	22363	3	3	0.67
播撒	37257	22363	3	3	0.67
面积	37257	22363	3	3	0.67
普通人	37257	22363	3	3	0.67
遇到	37257	22363	3	3	0.67
2014年	37257	22363	3	3	0.67
参考	37257	22363	3	3	0.67
十	37257	22363	3	3	0.67
距	37257	22363	3	3	0.67
识天	37257	22363	3	3	0.67
目测	37257	22363	3	3	0.67
障碍	37257	22363	3	3	0.67
据悉	37257	22363	3	3	0.67
高积	37257	22363	3	3	0.67
雏形	37257	22363	3	3	0.67
领先	37257	22363	3	3	0.67
定义	37257	22363	3	3	0.67
可靠性	37257	22363	3	3	0.67
多云	37257	22363	3	3	0.67
适应	37257	22363	3	3	0.67
用途	37257	22363	3	3	0.67
用例	37257	22363	3	3	0.67
塑造	37257	22363	3	3	0.67
发送	37257	22363	3	3	0.67
便利性	37257	22363	3	3	0.67
初创	37257	22363	3	3	0.67
示例	37257	22363	3	3	0.67
日益	37257	22363	3	3	0.67
看病	37257	22363	3	3	0.67
告别	37257	22363	3	3	0.67
纠错	37257	22363	3	3	0.67
医院	37257	22363	3	3	0.67
品牌	37257	22363	3	3	0.67
渗透	37257	22363	3	3	0.67
份额	37257	22363	3	3	0.67
偏	37257	22363	3	3	0.67
盒子	37257	22363	3	3	0.67
届	37257	22363	3	3	0.67
就地	37257	22363	3	3	0.67
据	37257	22363	3	3	0.67
七大	37257	22363	3	3	0.67
可信	37257	22363	3	3	0.67
自主	37257	22363	3	3	0.67
云网	37257	22363	3	3	0.67
带动	37257	22363	3	3	0.67
频道	37257	22363	3	3	0.67
加载	37257	22363	3	3	0.67
一次次	37257	22363	3	3	0.67
坚定	37257	22363	3	3	0.67
几何	37257	22363	3	3	0.67
看头	37257	22363	3	3	0.67
足不出户	37257	22363	3	3	0.67
精彩	37257	22363	3	3	0.67
交互	37257	22363	3	3	0.67
消费品	37257	22363	3	3	0.67
职能	37257	22363	3	3	0.67
付	37257	22363	3	3	0.67
经济效益	37257	22363	3	3	0.67
山川	37257	22363	3	3	0.67
当代	37257	22363	3	3	0.67
浮	37257	22363	3	3	0.67
意境	37257	22363	3	3	0.67
游子	37257	22363	3	3	0.67
杜甫	37257	22363	3	3	0.67
语境	37257	22363	3	3	0.67
欲	37257	22363	3	3	0.67
彩云	37257	22363	3	3	0.67
九嶷山	37257	22363	3	3	0.67
局面	37257	22363	3	3	0.67
鬓发	37257	22363	3	3	0.67
