token	corpus size	all contexts size	frequency	co-frequency	specificity
5D	169267	29402	35	14	3.02
avoir	169267	29402	43	16	2.98
après	169267	29402	28	12	2.97
son	169267	29402	121	34	2.94
Créer	169267	29402	18	9	2.90
nombreuses	169267	29402	18	9	2.90
migration	169267	29402	18	9	2.90
propriétés	169267	29402	9	6	2.89
pouvez	169267	29402	44	16	2.86
mesurer	169267	29402	12	7	2.84
catégories	169267	29402	12	7	2.84
environnements	169267	29402	12	7	2.84
share	169267	29402	29	12	2.82
important	169267	29402	29	12	2.82
mais	169267	29402	74	23	2.79
avant	169267	29402	22	10	2.79
livre	169267	29402	33	13	2.78
ces	169267	29402	138	37	2.77
peuvent	169267	29402	88	26	2.74
chiffrement	169267	29402	19	9	2.71
blogue	169267	29402	19	9	2.71
merveilleux	169267	29402	7	5	2.64
gris	169267	29402	7	5	2.64
jouent	169267	29402	7	5	2.64
lautorite	169267	29402	7	5	2.64
serveurs	169267	29402	59	19	2.61
aussi	169267	29402	90	26	2.61
Survey	169267	29402	13	7	2.58
composition	169267	29402	13	7	2.58
forment	169267	29402	13	7	2.58
theconversation	169267	29402	27	11	2.57
particulièrement	169267	29402	10	6	2.57
multiples	169267	29402	10	6	2.57
éd	169267	29402	10	6	2.57
génération	169267	29402	10	6	2.57
abonnement	169267	29402	10	6	2.57
Sans	169267	29402	10	6	2.57
litterature	169267	29402	10	6	2.57
png	169267	29402	47	16	2.56
grandes	169267	29402	31	12	2.55
offre	169267	29402	39	14	2.54
souvent	169267	29402	39	14	2.54
infrastructures	169267	29402	20	9	2.53
rôle	169267	29402	24	10	2.47
refroidissement	169267	29402	24	10	2.47
existe	169267	29402	17	8	2.44
former	169267	29402	17	8	2.44
très	169267	29402	70	21	2.44
rêver	169267	29402	5	4	2.42
expressions	169267	29402	5	4	2.42
verbatims	169267	29402	5	4	2.42
interpréter	169267	29402	5	4	2.42
distingue	169267	29402	5	4	2.42
industrielles	169267	29402	5	4	2.42
parasol	169267	29402	5	4	2.42
pose	169267	29402	5	4	2.42
362515	169267	29402	5	4	2.42
ou	169267	29402	363	80	2.42
leur	169267	29402	155	39	2.42
ils	169267	29402	75	22	2.40
Il	169267	29402	122	32	2.38
plus	169267	29402	518	109	2.37
forte	169267	29402	14	7	2.37
stratus	169267	29402	14	7	2.37
facteurs	169267	29402	14	7	2.37
modernisation	169267	29402	14	7	2.37
On	169267	29402	45	15	2.35
climatiques	169267	29402	41	14	2.33
commentaires	169267	29402	29	11	2.31
analyser	169267	29402	33	12	2.31
générer	169267	29402	11	6	2.31
efficace	169267	29402	11	6	2.31
formations	169267	29402	11	6	2.31
dynamics	169267	29402	11	6	2.31
air	169267	29402	114	30	2.31
Avantages	169267	29402	8	5	2.30
Types	169267	29402	8	5	2.30
apparaît	169267	29402	8	5	2.30
tu	169267	29402	8	5	2.30
poétiques	169267	29402	8	5	2.30
hypothèse	169267	29402	8	5	2.30
incidence	169267	29402	8	5	2.30
retenir	169267	29402	8	5	2.30
ti	169267	29402	8	5	2.30
herbe	169267	29402	3	3	2.28
montpellier3m	169267	29402	3	3	2.28
pedagotheque	169267	29402	3	3	2.28
D3	169267	29402	3	3	2.28
vois	169267	29402	3	3	2.28
blanches	169267	29402	3	3	2.28
échevelés	169267	29402	3	3	2.28
traversent	169267	29402	3	3	2.28
Editions	169267	29402	3	3	2.28
poétiqueÂ	169267	29402	3	3	2.28
quart	169267	29402	3	3	2.28
constituent	169267	29402	3	3	2.28
rétroactions	169267	29402	3	3	2.28
amplitude	169267	29402	3	3	2.28
tient	169267	29402	3	3	2.28
2Fwww	169267	29402	3	3	2.28
2Farticle	169267	29402	3	3	2.28
Ã‰volution	169267	29402	3	3	2.28
dense	169267	29402	3	3	2.28
Quest	169267	29402	3	3	2.28
quun	169267	29402	3	3	2.28
mirage	169267	29402	3	3	2.28
perdu	169267	29402	3	3	2.28
internationale	169267	29402	3	3	2.28
getpocket	169267	29402	3	3	2.28
save	169267	29402	3	3	2.28
poético	169267	29402	3	3	2.28
defendre	169267	29402	3	3	2.28
fenêtres	169267	29402	3	3	2.28
alimentés	169267	29402	3	3	2.28
massifs	169267	29402	3	3	2.28
wa	169267	29402	3	3	2.28
clarifier	169267	29402	3	3	2.28
populaire	169267	29402	3	3	2.28
simple	169267	29402	18	8	2.27
atmosphérique	169267	29402	18	8	2.27
dix	169267	29402	18	8	2.27
Vous	169267	29402	46	15	2.26
365	169267	29402	46	15	2.26
eau	169267	29402	120	31	2.25
fois	169267	29402	42	14	2.24
formes	169267	29402	22	9	2.22
mars	169267	29402	22	9	2.22
grande	169267	29402	38	13	2.22
€¦	169267	29402	111	29	2.22
plusieurs	169267	29402	51	16	2.21
processus	169267	29402	51	16	2.21
je	169267	29402	51	16	2.21
base	169267	29402	26	10	2.20
sous	169267	29402	83	23	2.19
ainsi	169267	29402	83	23	2.19
Computing	169267	29402	15	7	2.18
Pour	169267	29402	103	27	2.14
dynamique	169267	29402	19	8	2.11
il	169267	29402	287	63	2.10
sage	169267	29402	12	6	2.09
peintre	169267	29402	12	6	2.09
prévision	169267	29402	12	6	2.09
énergétiques	169267	29402	12	6	2.09
pourquoi	169267	29402	31	11	2.09
Mots	169267	29402	27	10	2.08
possible	169267	29402	27	10	2.08
article	169267	29402	134	33	2.07
pas	169267	29402	205	47	2.07
systèmes	169267	29402	62	18	2.06
mise	169267	29402	40	13	2.04
enfin	169267	29402	9	5	2.03
indispensable	169267	29402	9	5	2.03
basse	169267	29402	9	5	2.03
aidons	169267	29402	9	5	2.03
Utilisez	169267	29402	6	4	2.03
fleurs	169267	29402	6	4	2.03
passent	169267	29402	6	4	2.03
musée	169267	29402	6	4	2.03
Entre	169267	29402	6	4	2.03
imagination	169267	29402	6	4	2.03
nimbus	169267	29402	6	4	2.03
hauteurs	169267	29402	6	4	2.03
Jackie	169267	29402	6	4	2.03
visibilité	169267	29402	6	4	2.03
microphysiques	169267	29402	6	4	2.03
aller	169267	29402	6	4	2.03
derriere	169267	29402	6	4	2.03
cdn	169267	29402	6	4	2.03
émet	169267	29402	6	4	2.03
intervention	169267	29402	6	4	2.03
histoire	169267	29402	191	44	2.03
Si	169267	29402	49	15	2.02
avec	169267	29402	259	57	2.02
gouttes	169267	29402	16	7	2.01
littérature	169267	29402	16	7	2.01
changements	169267	29402	32	11	1.99
dématérialisée	169267	29402	54	16	1.99
nuageuse	169267	29402	28	10	1.98
infonuagique	169267	29402	28	10	1.98
Ainsi	169267	29402	24	9	1.97
dessus	169267	29402	41	13	1.96
service	169267	29402	122	30	1.95
été	169267	29402	50	15	1.95
leurs	169267	29402	74	20	1.91
Nord	169267	29402	13	6	1.91
radiatif	169267	29402	13	6	1.91
cycle	169267	29402	13	6	1.91
on	169267	29402	139	33	1.89
différentes	169267	29402	29	10	1.87
masse	169267	29402	29	10	1.87
était	169267	29402	17	7	1.86
Bien	169267	29402	17	7	1.86
wmo	169267	29402	17	7	1.86
données	169267	29402	341	71	1.86
mer	169267	29402	25	9	1.86
haute	169267	29402	21	8	1.85
uploads	169267	29402	21	8	1.85
avantages	169267	29402	47	14	1.84
où	169267	29402	71	19	1.81
textuelles	169267	29402	10	5	1.81
sensibilité	169267	29402	10	5	1.81
interactions	169267	29402	10	5	1.81
itok	169267	29402	10	5	1.81
via	169267	29402	34	11	1.81
mieux	169267	29402	34	11	1.81
lui	169267	29402	43	13	1.81
Ce	169267	29402	57	16	1.80
Tout	169267	29402	30	10	1.78
infonuagiques	169267	29402	30	10	1.78
faire	169267	29402	72	19	1.76
amuser	169267	29402	4	3	1.76
dialog	169267	29402	4	3	1.76
intérêts	169267	29402	4	3	1.76
entrepreneuriat	169267	29402	4	3	1.76
instantanée	169267	29402	4	3	1.76
toile	169267	29402	4	3	1.76
modifier	169267	29402	4	3	1.76
Apprenez	169267	29402	4	3	1.76
URL	169267	29402	4	3	1.76
PowerPoint	169267	29402	4	3	1.76
pousse	169267	29402	4	3	1.76
te	169267	29402	4	3	1.76
Baudelaire	169267	29402	4	3	1.76
Précédent	169267	29402	4	3	1.76
héros	169267	29402	4	3	1.76
placer	169267	29402	4	3	1.76
réflexions	169267	29402	4	3	1.76
orageux	169267	29402	4	3	1.76
reconnaît	169267	29402	4	3	1.76
remarquer	169267	29402	4	3	1.76
favorise	169267	29402	4	3	1.76
ATR	169267	29402	4	3	1.76
restent	169267	29402	4	3	1.76
microphysique	169267	29402	4	3	1.76
trajectoires	169267	29402	4	3	1.76
précisément	169267	29402	4	3	1.76
Systèmes	169267	29402	4	3	1.76
composé	169267	29402	4	3	1.76
étendu	169267	29402	4	3	1.76
largement	169267	29402	4	3	1.76
Quelle	169267	29402	4	3	1.76
découvert	169267	29402	4	3	1.76
Unesco	169267	29402	4	3	1.76
sûrs	169267	29402	4	3	1.76
connexes	169267	29402	4	3	1.76
sinistre	169267	29402	4	3	1.76
meilleur	169267	29402	4	3	1.76
gestionnaires	169267	29402	4	3	1.76
8x8	169267	29402	4	3	1.76
technologie	169267	29402	77	20	1.76
réponses	169267	29402	53	15	1.76
gestion	169267	29402	87	22	1.75
eux	169267	29402	14	6	1.75
Image	169267	29402	14	6	1.75
orage	169267	29402	14	6	1.75
peinture	169267	29402	14	6	1.75
237	169267	29402	14	6	1.75
limpact	169267	29402	14	6	1.75
devraient	169267	29402	7	4	1.75
étape	169267	29402	7	4	1.75
Création	169267	29402	7	4	1.75
subject	169267	29402	7	4	1.75
Or	169267	29402	7	4	1.75
Journal	169267	29402	7	4	1.75
influencer	169267	29402	7	4	1.75
tempêtes	169267	29402	7	4	1.75
Atlas	169267	29402	7	4	1.75
estime	169267	29402	7	4	1.75
traitées	169267	29402	7	4	1.75
fournisseur	169267	29402	58	16	1.74
20puzzle	169267	29402	22	8	1.74
Nous	169267	29402	68	18	1.72
Accueil	169267	29402	54	15	1.70
mot	169267	29402	40	12	1.70
tendances	169267	29402	31	10	1.70
jpg	169267	29402	31	10	1.70
s	169267	29402	258	54	1.69
ne	169267	29402	172	38	1.68
atmosphère	169267	29402	79	20	1.67
différents	169267	29402	36	11	1.66
ses	169267	29402	100	24	1.64
lÃ	169267	29402	23	8	1.63
20du	169267	29402	23	8	1.63
ouvertes	169267	29402	11	5	1.63
donner	169267	29402	11	5	1.63
schémas	169267	29402	11	5	1.63
anglais	169267	29402	11	5	1.63
vers	169267	29402	90	22	1.63
facebook	169267	29402	85	21	1.63
patrickcorneau	169267	29402	116	27	1.62
facilement	169267	29402	19	7	1.61
font	169267	29402	19	7	1.61
observation	169267	29402	19	7	1.61
Sécurité	169267	29402	19	7	1.61
principaux	169267	29402	15	6	1.61
particulier	169267	29402	15	6	1.61
adoption	169267	29402	15	6	1.61
source	169267	29402	51	14	1.60
En	169267	29402	181	39	1.59
analyse	169267	29402	66	17	1.58
dire	169267	29402	28	9	1.58
c	169267	29402	123	28	1.57
altitude	169267	29402	33	10	1.54
scientifiques	169267	29402	24	8	1.54
20climatique	169267	29402	24	8	1.54
peut	169267	29402	151	33	1.54
utile	169267	29402	8	4	1.53
suivante	169267	29402	8	4	1.53
populaires	169267	29402	8	4	1.53
offrent	169267	29402	8	4	1.53
cheveux	169267	29402	8	4	1.53
montagnes	169267	29402	8	4	1.53
énormes	169267	29402	8	4	1.53
Ici	169267	29402	8	4	1.53
représentent	169267	29402	8	4	1.53
élasticité	169267	29402	8	4	1.53
Ouest	169267	29402	8	4	1.53
alizés	169267	29402	8	4	1.53
presque	169267	29402	8	4	1.53
central	169267	29402	8	4	1.53
difficile	169267	29402	8	4	1.53
Cybersécurité	169267	29402	8	4	1.53
stratocumulus	169267	29402	2	2	1.52
dégage	169267	29402	2	2	1.52
verbatim	169267	29402	2	2	1.52
regroupés	169267	29402	2	2	1.52
conclusion	169267	29402	2	2	1.52
25C3	169267	29402	2	2	1.52
dominants	169267	29402	2	2	1.52
contextes	169267	29402	2	2	1.52
Résumé	169267	29402	2	2	1.52
constater	169267	29402	2	2	1.52
ajoutant	169267	29402	2	2	1.52
diagramme	169267	29402	2	2	1.52
barres	169267	29402	2	2	1.52
sélectionnez	169267	29402	2	2	1.52
apparaîtront	169267	29402	2	2	1.52
devrez	169267	29402	2	2	1.52
cliqué	169267	29402	2	2	1.52
appliquons	169267	29402	2	2	1.52
courante	169267	29402	2	2	1.52
Générateur	169267	29402	2	2	1.52
Ajustez	169267	29402	2	2	1.52
informatif	169267	29402	2	2	1.52
diapositive	169267	29402	2	2	1.52
Taille	169267	29402	2	2	1.52
boîte	169267	29402	2	2	1.52
oui	169267	29402	2	2	1.52
Alain	169267	29402	2	2	1.52
voler	169267	29402	2	2	1.52
naviguer	169267	29402	2	2	1.52
îles	169267	29402	2	2	1.52
dedans	169267	29402	2	2	1.52
Passent	169267	29402	2	2	1.52
paraître	169267	29402	2	2	1.52
visage	169267	29402	2	2	1.52
tes	169267	29402	2	2	1.52
oreillers	169267	29402	2	2	1.52
assurément	169267	29402	2	2	1.52
pastel	169267	29402	2	2	1.52
tonnerre	169267	29402	2	2	1.52
deuil	169267	29402	2	2	1.52
crête	169267	29402	2	2	1.52
ange	169267	29402	2	2	1.52
lambeaux	169267	29402	2	2	1.52
grise	169267	29402	2	2	1.52
pelucheux	169267	29402	2	2	1.52
chignon	169267	29402	2	2	1.52
pavant	169267	29402	2	2	1.52
Ceux	169267	29402	2	2	1.52
matelassé	169267	29402	2	2	1.52
pelotons	169267	29402	2	2	1.52
laine	169267	29402	2	2	1.52
gronde	169267	29402	2	2	1.52
chapeaux	169267	29402	2	2	1.52
Naviguer	169267	29402	2	2	1.52
téorologie	169267	29402	2	2	1.52
remarquable	169267	29402	2	2	1.52
double	169267	29402	2	2	1.52
fibres	169267	29402	2	2	1.52
soutient	169267	29402	2	2	1.52
Iphigénie	169267	29402	2	2	1.52
tellurique	169267	29402	2	2	1.52
montré	169267	29402	2	2	1.52
essais	169267	29402	2	2	1.52
interaction	169267	29402	2	2	1.52
sut	169267	29402	2	2	1.52
majesté	169267	29402	2	2	1.52
peindre	169267	29402	2	2	1.52
invitation	169267	29402	2	2	1.52
Maillard	169267	29402	2	2	1.52
Premières	169267	29402	2	2	1.52
Pierres	169267	29402	2	2	1.52
Charenton	169267	29402	2	2	1.52
arrachés	169267	29402	2	2	1.52
attirent	169267	29402	2	2	1.52
Chicago	169267	29402	2	2	1.52
MLA	169267	29402	2	2	1.52
garenne	169267	29402	2	2	1.52
lemot	169267	29402	2	2	1.52
nuees	169267	29402	2	2	1.52
Prades	169267	29402	2	2	1.52
hPa	169267	29402	2	2	1.52
rouleau	169267	29402	2	2	1.52
ceilomètres	169267	29402	2	2	1.52
conçus	169267	29402	2	2	1.52
€‹et	169267	29402	2	2	1.52
profondeur	169267	29402	2	2	1.52
Célomètre	169267	29402	2	2	1.52
coordinatrice	169267	29402	2	2	1.52
diminution	169267	29402	2	2	1.52
équateur	169267	29402	2	2	1.52
scrutées	169267	29402	2	2	1.52
empêchent	169267	29402	2	2	1.52
provient	169267	29402	2	2	1.52
compensé	169267	29402	2	2	1.52
observée	169267	29402	2	2	1.52
spectroradiomètre	169267	29402	2	2	1.52
contrôlent	169267	29402	2	2	1.52
doppler	169267	29402	2	2	1.52
Basta	169267	29402	2	2	1.52
projections	169267	29402	2	2	1.52
summary	169267	29402	2	2	1.52
météorologues	169267	29402	2	2	1.52
initiale	169267	29402	2	2	1.52
répartis	169267	29402	2	2	1.52
savons	169267	29402	2	2	1.52
influences	169267	29402	2	2	1.52
réciproques	169267	29402	2	2	1.52
manières	169267	29402	2	2	1.52
ru	169267	29402	2	2	1.52
parlent	169267	29402	2	2	1.52
expliquent	169267	29402	2	2	1.52
voisinage	169267	29402	2	2	1.52
précipitants	169267	29402	2	2	1.52
schématique	169267	29402	2	2	1.52
schema	169267	29402	2	2	1.52
dirigée	169267	29402	2	2	1.52
cohabitent	169267	29402	2	2	1.52
Bergeron	169267	29402	2	2	1.52
multitude	169267	29402	2	2	1.52
répartissent	169267	29402	2	2	1.52
deau	169267	29402	2	2	1.52
Evolution	169267	29402	2	2	1.52
Representation	169267	29402	2	2	1.52
genres	169267	29402	2	2	1.52
Fourni	169267	29402	2	2	1.52
entr	169267	29402	2	2	1.52
dénomination	169267	29402	2	2	1.52
convertit	169267	29402	2	2	1.52
classifications	169267	29402	2	2	1.52
proposera	169267	29402	2	2	1.52
étagés	169267	29402	2	2	1.52
esquisses	169267	29402	2	2	1.52
surmontant	169267	29402	2	2	1.52
fondée	169267	29402	2	2	1.52
évanescent	169267	29402	2	2	1.52
Sylvain	169267	29402	2	2	1.52
Pesticides	169267	29402	2	2	1.52
actives	169267	29402	2	2	1.52
PesticidesÂ	169267	29402	2	2	1.52
rêverie	169267	29402	2	2	1.52
catherineternaux	169267	29402	2	2	1.52
blogspot	169267	29402	2	2	1.52
1421	169267	29402	2	2	1.52
1422	169267	29402	2	2	1.52
7312	169267	29402	2	2	1.52
7315	169267	29402	2	2	1.52
Tels	169267	29402	2	2	1.52
poeme	169267	29402	2	2	1.52
Monsieur	169267	29402	2	2	1.52
milite	169267	29402	2	2	1.52
Julliard	169267	29402	2	2	1.52
imagine	169267	29402	2	2	1.52
culturel	169267	29402	2	2	1.52
Affiche	169267	29402	2	2	1.52
atténuent	169267	29402	2	2	1.52
essentielle	169267	29402	2	2	1.52
développant	169267	29402	2	2	1.52
PIIEC	169267	29402	2	2	1.52
dépasser	169267	29402	2	2	1.52
continueront	169267	29402	2	2	1.52
Transformations	169267	29402	2	2	1.52
€‹dans	169267	29402	2	2	1.52
évolutifs	169267	29402	2	2	1.52
liees	169267	29402	2	2	1.52
canadienne	169267	29402	2	2	1.52
agiles	169267	29402	2	2	1.52
traités	169267	29402	2	2	1.52
Prêt	169267	29402	2	2	1.52
POST	169267	29402	2	2	1.52
Background	169267	29402	2	2	1.52
Type	169267	29402	2	2	1.52
Combinaison	169267	29402	2	2	1.52
talent	169267	29402	2	2	1.52
innovateur	169267	29402	2	2	1.52
escalade	169267	29402	2	2	1.52
définitions	169267	29402	2	2	1.52
payez	169267	29402	2	2	1.52
accédez	169267	29402	2	2	1.52
réduisant	169267	29402	2	2	1.52
hébergent	169267	29402	2	2	1.52
retrouvent	169267	29402	2	2	1.52
7510	169267	29402	2	2	1.52
permet	169267	29402	83	20	1.51
enfant	169267	29402	20	7	1.51
Figure	169267	29402	43	12	1.51
énergie	169267	29402	29	9	1.50
être	169267	29402	115	26	1.50
infrastructure	169267	29402	68	17	1.50
modèles	169267	29402	53	14	1.49
utm	169267	29402	94	22	1.49
lecture	169267	29402	16	6	1.49
vont	169267	29402	16	6	1.49
appelle	169267	29402	12	5	1.48
facile	169267	29402	12	5	1.48
Drag	169267	29402	12	5	1.48
tirer	169267	29402	12	5	1.48
visualisation	169267	29402	12	5	1.48
Dieu	169267	29402	12	5	1.48
structure	169267	29402	12	5	1.48
Sandrine	169267	29402	12	5	1.48
bilan	169267	29402	12	5	1.48
communiques	169267	29402	12	5	1.48
cela	169267	29402	34	10	1.47
nombre	169267	29402	34	10	1.47
faut	169267	29402	34	10	1.47
linkedin	169267	29402	127	28	1.46
tous	169267	29402	69	17	1.46
rapide	169267	29402	25	8	1.46
flexibilité	169267	29402	25	8	1.46
encyclopedie	169267	29402	64	16	1.45
même	169267	29402	90	21	1.45
Des	169267	29402	44	12	1.45
type	169267	29402	49	13	1.45
imaginer	169267	29402	5	3	1.45
fine	169267	29402	5	3	1.45
Personnalisez	169267	29402	5	3	1.45
