 accueil
accueil visualiser
bord créez
créez un
un tableau
tableau de
de visualisation
visualisation à
à partir
partir du
du cube
cube de
de données
données ci
ci dessus
dessus qui
qui sera
sera utilisé
utilisé pour
pour alimenter
alimenter le
le nuage
nuage de
de mots
mots graphique
graphique de
de fréquence
fréquence le
le nom
nom de
de script
script du
du tableau
tableau trouvé
trouvé dans
dans ses
ses propriétés
propriétés sera
sera utilisé
utilisé dans
dans le
le script
script du
du nuage
nuage de
de mots
mots dans
dans la
la section
section suivante
suivante renommez
renommez ce
ce nom
nom de
de script
script si
si nécessaire
nécessaire figure
figure notez
notez le
le nom
nom du
du script
script de
de la
la table
table créer
créer le
le nuage
nuage de
de mots
mots pour
pour créer
créer le
le nuage
nuage de
de mots
mots nous
nous utiliserons
utiliserons la
la bibliothèque
bibliothèque d
d js
js et
et ferons
ferons référence
référence à
à l
l exemple
exemple présenté
présenté ici
ici dans
dans l
l événement
événement ready
ready du
du tableau
tableau de
de bord
bord ajoutez
ajoutez le
le script
script d
d js
js pour
pour créer
créer le
le nuage
nuage de
de mots
mots texte
texte Éditeur
Éditeur de
de scripts
scripts figure
figure script
script de
de création
création du
du nuage
nuage de
de mots
mots afficher
afficher les
les données
données dans
dans le
le nuage
nuage de
de mots
mots pour
pour afficher
afficher les
les données
données sur
sur le
le nuage
nuage de
de mots
mots nous
nous utiliserons
utiliserons un
un composant
composant d
d étiquette
étiquette html
html qui
qui servira
servira de
de conteneur
conteneur pour
pour le
le nuage
nuage et
et nous
nous permettra
permettra de
de positionner
positionner et
et de
de redimensionner
redimensionner le
le nuage
nuage en
en fonction
fonction des
des besoins
besoins sur
sur la
la toile
toile du
du tableau
tableau de
de bord
bord ajoutez
ajoutez maintenant
maintenant un
un autre
autre script
script dans
dans l
l action
action ready
ready du
du tableau
tableau de
de bord
bord qui
qui lit
lit les
les données
données du
du tableau
tableau créé
créé précédemment
précédemment les
les lie
lie au
au nuage
nuage de
de mots
mots et
et les
les affiche
affiche dans
dans le
le conteneur
conteneur d
d étiquettes
étiquettes html
html pour
pour s
s assurer
assurer que
que le
le nuage
nuage de
de mots
mots change
change lorsque
lorsque les
les données
données sont
sont modifiées
modifiées dans
dans le
le tableau
tableau par
par exemple
exemple en
en cas
cas de
de changement
changement de
de filtre
filtre etc
etc ajoutez
ajoutez également
également ce
ce script
script dans
dans l
l action
action données
données modifiées
modifiées du
du résumé
résumé comme
comme vous
vous pouvez
pouvez le
le constater
constater un
un nuage
nuage de
de mots
mots permet
permet d
d analyser
analyser rapidement
rapidement n
n importe
importe quel
quel texte
texte et
et fournit
fournit des
des informations
informations précieuses
précieuses sur
sur des
des sujets
sujets essentiels
essentiels l
l exemple
exemple ci
ci dessus
dessus montre
montre comment
comment créer
créer un
un nuage
nuage de
de mots
mots rudimentaire
rudimentaire dans
dans dundas
dundas bi
bi vous
vous pouvez
pouvez modifier
modifier et
et renforcer
renforcer l
l apparence
apparence du
du nuage
nuage de
de mots
mots en
en ajustant
ajustant son
son script
script et
et en
en ajoutant
ajoutant des
des améliorations
améliorations supplémentaires
supplémentaires telles
telles que
que différents
différents schémas
schémas de
de couleurs
couleurs qui
qui peuvent
peuvent être
être affichés
affichés en
en fonction
fonction de
de la
la fréquence
fréquence des
des mots
mots sélectionnés
sélectionnés le
le nuage
nuage de
de mots
mots est
est une
une excellente
excellente visualisation
visualisation qui
qui permet
permet de
de mettre
mettre rapidement
rapidement en
en évidence
évidence les
les mots
mots clés
clés d
d un
un texte
texte mais
mais il
il ne
ne permet
permet pas
pas d
d effectuer
effectuer une
une analyse
analyse précise
précise ce
ce qui
qui est
est souvent
souvent l
l objectif
objectif de
de pour
pour combler
combler cette
cette lacune
lacune et
et fournir
fournir à
à la
la fois
fois le
le premier
premier aperçu
aperçu rapide
rapide obtenu
obtenu en
en jetant
jetant un
un coup
coup d
d �il
�il au
au nuage
nuage de
de mots
mots et
et la
la vue
vue précise
précise nécessaire
nécessaire à
à l
l analyse
analyse commerciale
commerciale nous
nous recommandons
recommandons de
de superposer
superposer le
le nuage
nuage de
de mots
mots à
à un
un diagramme
diagramme à
à barres
barres montrant
montrant le
le même
même résultat
résultat voici
voici un
un exemple
exemple de
de ce
ce que
que cela
cela donne
donne sur
sur un
un tableau
tableau de
de bord
bord figure
figure figure
figure nuage
nuage de
de mots
mots superposé
superposé à
à un
un diagramme
diagramme à
à barres
barres l
l utilisation
utilisation des
des diagrammes
diagrammes de
de pareto
pareto dans
dans power
power bi
bi est
est une
une autre
autre 
